Region,Country,Indicator,Value,gdp_per_capita
Latin America & Caribbean,Guatemala,trade_openness,45.86557829,4619.987097
 Africa,Guinea,trade_openness,108.7208264,1064.131237
 Africa,Guinea-Bissau,trade_openness,57.00855585,697.7844029
Latin America & Caribbean,Guyana,trade_openness,79.08176442,5468.356629
Latin America & Caribbean,Haiti,trade_openness,74.30851404,754.5879177
Latin America & Caribbean,Honduras,trade_openness,96.61335126,2574.912191
Asia,Hong Kong,trade_openness,352.8222341,48755.83508
Europe,Hungary,trade_openness,162.9805419,16475.74184
Europe,Iceland,trade_openness,85.91667594,66944.82551
Asia,India,trade_openness,40.01853711,2104.1459
Asia,Indonesia,trade_openness,37.30339786,4135.569263
Middle East & North Africa,Iran,trade_openness,48.78063765,5520.310789
Middle East & North Africa,Iraq,trade_openness,76.37385693,5955.10901
Europe,Ireland,trade_openness,239.2150917,78660.95646
Middle East & North Africa,Israel,trade_openness,58.46463163,43641.39774
Europe,Italy,trade_openness,60.13943,33189.5658
Latin America & Caribbean,Jamaica,trade_openness,89.02638174,5582.263778
Asia,Japan,trade_openness,36.81650736,40246.88013
Middle East & North Africa,Jordan,trade_openness,87.61716788,4330.329346
Asia,Kazakhstan,trade_openness,64.43150616,9731.145207
 Africa,Kenya,trade_openness,33.40144307,1816.546916
Pacific,Kiribati,trade_openness,98.39241362,1655.078839
Europe,Kosovo,trade_openness,83.82676987,4417.50994
Middle East & North Africa,Kuwait,trade_openness,100.4875821,32031.9801
Asia,Kyrgyzstan,trade_openness,103.0849986,1309.392992
Asia,Laos,trade_openness,75.09189092,2534.898277
Europe,Latvia,trade_openness,119.7300625,17836.36489
Middle East & North Africa,Lebanon,trade_openness,63.61166881,7784.316857
 Africa,Lesotho,trade_openness,134.6219131,1157.535164
 Africa,Liberia,trade_openness,127.4522759,621.8929536
Middle East & North Africa,Libya,trade_openness,118.3218047,7683.750611
Europe,Liechtenstein,trade_openness,96.1866,"165,028.25"
Europe,Lithuania,trade_openness,150.5807405,19455.45413
Europe,Luxembourg,trade_openness,381.5166164,114704.5942
 Africa,Madagascar,trade_openness,59.8221541,522.2198092
 Africa,Malawi,trade_openness,66.60450958,411.5523404
Asia,Malaysia,trade_openness,123.0909506,11414.83766
Asia,Maldives,trade_openness,135.7373599,10790.50024
 Africa,Mali,trade_openness,57.18899731,890.7372855
Middle East & North Africa,Malta,trade_openness,261.0120836,29416.23061
Pacific,Marshall Islands,trade_openness,125.7276819,3788.163594
 Africa,Mauritania,trade_openness,94.2184136,1677.919253
 Africa,Mauritius,trade_openness,92.8089776,11203.54058
Latin America & Caribbean,Mexico,trade_openness,78.17597157,9863.072699
Europe,Moldova,trade_openness,85.76872986,4498.52085
Asia,Mongolia,trade_openness,125.758871,4295.235025
Europe,Montenegro,trade_openness,109.4539028,8832.036836
Middle East & North Africa,Morocco,trade_openness,87.46319002,3204.095003
 Africa,Mozambique,trade_openness,112.1514172,491.8047231
Asia,Myanmar,trade_openness,60.68898922,1407.813143
 Africa,Namibia,trade_openness,83.4755647,4957.458006
Asia,Nepal,trade_openness,54.92592114,1071.050761
Europe,Netherlands,trade_openness,154.322327,52447.83144
Pacific,New Zealand,trade_openness,55.94194989,42084.35337
Latin America & Caribbean,Nicaragua,trade_openness,95.07564249,1912.903745
 Africa,Niger,trade_openness,39.71295599,554.6009687
 Africa,Nigeria,trade_openness,33.00783349,2229.858696
Europe,North Macedonia,trade_openness,137.2765915,6093.14769
Europe,Norway,trade_openness,72.14649965,75419.63487
Middle East & North Africa,Oman,trade_openness,100.6861486,15474.03248
Asia,Pakistan,trade_openness,30.43820826,1284.702041
Pacific,Palau,trade_openness,123.2981296,15859.43486
Latin America & Caribbean,Panama,trade_openness,89.39215271,15731.01603
Pacific,Papua New Guinea,trade_openness,131.082911,2845.180186
Latin America & Caribbean,Paraguay,trade_openness,69.15760135,5414.799138
Latin America & Caribbean,Peru,trade_openness,47.12189258,6977.695784
Asia,Philippines,trade_openness,68.60690606,3485.084218
Europe,Poland,trade_openness,106.2424677,15595.22703
Europe,Portugal,trade_openness,87.641209,23145.04082
Middle East & North Africa,Qatar,trade_openness,86.54736253,64781.7332
Europe,Romania,trade_openness,84.55986923,12919.52964
Europe,Russia,trade_openness,49.07406987,11584.99538
 Africa,Rwanda,trade_openness,53.66138286,801.656187
 Africa,S. Sudan,trade_openness,65.55134918,1119.651333
Latin America & Caribbean,Saint Kitts and Nevis,trade_openness,122.6706323,19896.4957
Latin America & Caribbean,Saint Vincent and the Grenadines,trade_openness,85.20300173,7463.537831
Middle East & North Africa,Saudi Arabia,trade_openness,62.16307122,23139.79866
 Africa,Senegal,trade_openness,60.50640246,1446.830965
Europe,Serbia,trade_openness,112.6441269,7402.354559
 Africa,Seychelles,trade_openness,155.2458684,17401.72151
 Africa,Sierra Leone,trade_openness,56.69583064,504.4625434
Asia,Singapore,trade_openness,319.1483816,65233.28244
Europe,Slovakia,trade_openness,185.2499461,19329.0968
Europe,Slovenia,trade_openness,159.7361203,25739.24781
Pacific,Solomon Islands,trade_openness,98.39379171,2127.538508
 Africa,Somalia,trade_openness,47.52815201,126.9249205
 Africa,South Africa,trade_openness,59.20453606,31761.97769
Asia,South Korea,trade_openness,76.7093951,6001.400814
Europe,Spain,trade_openness,66.91706863,29613.67114
Asia,Sri Lanka,trade_openness,52.37086358,3853.083693
 Africa,Sudan,trade_openness,26.72186292,441.5056034
Latin America & Caribbean,Suriname,trade_openness,90.96139415,6854.906561
 Africa,Swaziland,trade_openness,84.41334136,3837.026994
Europe,Sweden,trade_openness,90.48590435,51610.06606
Europe,Switzerland,trade_openness,119.4384956,81993.72715
Middle East & North Africa,Syria,trade_openness,76.47647598,2032.623489
Asia,Taiwan,trade_openness,102.1132,26910
Asia,Tajikistan,trade_openness,56.64274416,870.7875893
 Africa,Tanzania,trade_openness,32.23894101,1122.12181
Asia,Thailand,trade_openness,110.2991956,7808.192916
 Africa,The Gambia,trade_openness,65.48444814,751.2946884
Asia,Timor-Leste,trade_openness,63.00654424,1294.188934
 Africa,Togo,trade_openness,71.24105441,675.5422133
Pacific,Tonga,trade_openness,98.22010474,4364.015561
Middle East & North Africa,Tunisia,trade_openness,110.5351873,3317.541013
Asia,Turkey,trade_openness,61.39449997,9042.492983
Asia,Turkmenistan,trade_openness,35.1633909,6966.635411
 Africa,Uganda,trade_openness,46.0188627,776.7685759
Europe,Ukraine,trade_openness,90.17379013,3659.031312
Middle East & North Africa,United Arab Emirates,trade_openness,160.9360929,43103.32306
Europe,United Kingdom,trade_openness,64.25367784,42300.26713
North America,United States of America,trade_openness,26.38872679,65118.35833
Latin America & Caribbean,Uruguay,trade_openness,41.03010203,16190.12696
Asia,Uzbekistan,trade_openness,73.0168778,1724.841134
Pacific,Vanuatu,trade_openness,97.94713623,3058.065675
Latin America & Caribbean,Venezuela,trade_openness,48.09081353,16054.49051
Asia,Vietnam,trade_openness,210.4002453,2715.276036
 Africa,Zambia,trade_openness,70.03503475,1291.343357
 Africa,Zimbabwe,trade_openness,50.00536144,1463.98591
