Country,Indicator,Place
Dem. Rep. Congo,Imports,European Union
Denmark,Imports,European Union
Djibouti,Imports,European Union
Dominica,Imports,United States
Dominican Rep.,Imports,United States
Ecuador,Imports,United States
Egypt,Imports,European Union
El Salvador,Imports,United States
Eq. Guinea,Imports,European Union
Eritrea,Imports,European Union
Estonia,Imports,European Union
Ethiopia,Imports,China
Fiji,Imports,Other
Finland,Imports,European Union
France,Imports,European Union
Gabon,Imports,European Union
Georgia,Imports,European Union
Germany,Imports,European Union
Ghana,Imports,European Union
Greece,Imports,European Union
Greenalnd,Imports,European Union
Grenada,Imports,United States
Guatemala,Imports,United States
Guinea,Imports,European Union
Guinea-Bissau,Imports,European Union
Guyana,Imports,Other
Haiti,Imports,United States
Honduras,Imports,United States
Hong Kong,Imports,China
Hungary,Imports,European Union
Iceland,Imports,European Union
India,Imports,China
Indonesia,Imports,China
Iran,Imports,Other
Iraq,Imports,China
Ireland,Imports,European Union
Israel,Imports,European Union
Italy,Imports,European Union
Ivory Coast,Imports,European Union
Jamaica,Imports,United States
Japan,Imports,China
Jordan,Imports,European Union
Kazakhstan,Imports,Other
Kenya,Imports,Other
Kiribati,Imports,Other
Kosovo,Imports,European Union
Kuwait,Imports,European Union
Kyrgyzstan,Imports,China
Laos,Imports,Other
Latvia,Imports,European Union
Lebanon,Imports,European Union
Lesotho,Imports,South Africa
Liberia,Imports,Other
Libya,Imports,European Union
Liechtenstein,Imports,European Union
Lithuania,Imports,European Union
Luxembourg,Imports,European Union
 Macau,Imports,Other
Madagascar,Imports,China
Malawi,Imports,South Africa
Malaysia,Imports,China
Maldives,Imports,Other
Mali,Imports,Other
Malta,Imports,European Union
Mauritania,Imports,European Union
Mauritius,Imports,European Union
Mexico,Imports,United States
 Federated States of Micronesia,Imports,United States
Moldova,Imports,European Union
Monaco,Imports,European Union
Mongolia,Imports,China
Montenegro,Imports,European Union
Morocco,Imports,European Union
Mozambique,Imports,South Africa
Myanmar,Imports,China
Namibia,Imports,South Africa
Nepal,Imports,Other
Netherlands,Imports,European Union
New Zealand,Imports,China
Nicaragua,Imports,United States
Niger,Imports,European Union
Nigeria,Imports,European Union
North Korea,Imports,China
North Macedonia,Imports,European Union
Norway,Imports,European Union
Oman,Imports,Other
Pakistan,Imports,China
 State of Palestine,Imports,Other
Panama,Imports,United States
Papua New Guinea,Imports,Other
Paraguay,Imports,China
Peru,Imports,China
Philippines,Imports,China
Poland,Imports,European Union
Portugal,Imports,European Union
Qatar,Imports,European Union
Congo,Imports,European Union
Romania,Imports,European Union
Russia,Imports,European Union
Rwanda,Imports,China
Saint Kitts and Nevis,Imports,United States
Saint Lucia,Imports,United States
Saint Vincent and the Grenadines,Imports,United States
Samoa,Imports,Other
San Marino,Imports,European Union
Sao Tome and Principe,Imports,European Union
Saudi Arabia,Imports,European Union
Senegal,Imports,European Union
Serbia,Imports,European Union
Seychelles,Imports,European Union
Sierra Leone,Imports,European Union
Singapore,Imports,China
Slovakia,Imports,European Union
Slovenia,Imports,European Union
Solomon Islands,Imports,Other
Somalia,Imports,Other
Somaliland,Imports,Other
South Africa,Imports,European Union
South Korea,Imports,China
S. Sudan,Imports,Other
Spain,Imports,European Union
Sri Lanka,Imports,China
Sudan,Imports,China
Suriname,Imports,United States
Swaziland,Imports,South Africa
Sweden,Imports,European Union
Switzerland,Imports,European Union
Syria,Imports,European Union
Taiwan,Imports,China
Tajikistan,Imports,Other
Tanzania,Imports,Other
Thailand,Imports,China
The Gambia,Imports,European Union
Timor-Leste,Imports,Other
Togo,Imports,European Union
Tonga,Imports,Other
Trinidad and Tobago,Imports,United States
Tunisia,Imports,European Union
Turkey,Imports,European Union
Turkmenistan,Imports,Other
Uganda,Imports,Other
Ukraine,Imports,European Union
United Arab Emirates,Imports,European Union
United Kingdom,Imports,European Union
United States of America,Imports,China
Uruguay,Imports,China
Uzbekistan,Imports,China
Vanuatu,Imports,Other
Venezuela,Imports,United States
Vietnam,Imports,China
Yemen,Imports,Other
Zambia,Imports,Other
Zimbabwe,Imports,South Africa
W. Sahara,Imports,South Africa
