Country Name,$PPP,Homicide Rate,Population,Region
Malaysia,29525.57736,2.127665134,31949777,East Asia & Pacific
Namibia,10036.59246,17.67833361,2494530,Sub-Saharan Africa
Niger,1269.601399,4.428158163,23310715,Sub-Saharan Africa
Nigeria,5348.339797,34.5240459,200963599,Sub-Saharan Africa
Nicaragua,5631.201573,7.185947903,6545502,Latin America & Caribbean
Netherlands,59686.83163,0.58618159,17332850,Europe & Central Asia
Norway,66831.86883,0.468343712,5347896,Europe & Central Asia
Nepal,3558.399828,2.299783996,28608710,South Asia
New Zealand,43952.54843,0.744359509,4917000,East Asia & Pacific
Oman,29052.4974,0.269180342,4974986,Middle East & North Africa
Pakistan,4884.88139,3.88308273,216565318,South Asia
Panama,32762.49475,9.385022462,4246439,Latin America & Caribbean
Peru,13380.36442,7.909223863,32510453,Latin America & Caribbean
Philippines,9277.374369,6.464988165,108116615,East Asia & Pacific
Papua New Guinea,4569.44618,9.753078854,8776109,East Asia & Pacific
Poland,34217.71571,0.7304547,37970874,Europe & Central Asia
Puerto Rico,35948.19196,21.08831497,3193694,Latin America & Caribbean
Portugal,36470.70677,0.789766806,10269417,Europe & Central Asia
Paraguay,13210.30791,7.144839995,7044636,Latin America & Caribbean
Qatar,96490.98387,0.365972376,2832067,Middle East & North Africa
Romania,32297.30337,1.281649699,19356544,Europe & Central Asia
Russian Federation,29657.83953,8.209475626,144373535,Europe & Central Asia
Rwanda,2318.48623,2.577168608,12626950,Sub-Saharan Africa
Saudi Arabia,48908.48238,1.265815787,34268528,Middle East & North Africa
Sudan,4122.526685,5.148083939,42813238,Sub-Saharan Africa
Senegal,3535.568779,0.267518152,16296364,Sub-Saharan Africa
Singapore,101375.7753,0.156317765,5703569,East Asia & Pacific
Solomon Islands,2465.520643,3.774589464,669823,East Asia & Pacific
Sierra Leone,1789.588431,1.728967838,7813215,Sub-Saharan Africa
El Salvador,9139.706334,52.01892617,6453553,Latin America & Caribbean
Serbia,18989.03966,1.226890579,6944975,Europe & Central Asia
Sao Tome and Principe,4128.062159,3.251662412,215056,Sub-Saharan Africa
Suriname,17005.42675,5.433820449,581372,Latin America & Caribbean
Slovak Republic,34177.95276,1.136985269,5454073,Europe & Central Asia
Slovenia,40656.55737,0.481269937,2087946,Europe & Central Asia
Sweden,55814.51265,1.083072677,10285453,Europe & Central Asia
Eswatini,9048.178922,11.55752804,1148130,Sub-Saharan Africa
Seychelles,30259.96103,12.53774383,97625,Sub-Saharan Africa
Thailand,19228.29468,2.582003648,69625582,East Asia & Pacific
Tajikistan,3519.822017,1.636893607,9321018,Europe & Central Asia
Timor-Leste,3252.546371,4.095983095,1293119,East Asia & Pacific
Trinidad and Tobago,27260.81122,30.64950684,1394973,Latin America & Caribbean
Tunisia,11201.34376,3.060756101,11694719,Middle East & North Africa
Turkey,27875.19325,2.590475672,83429615,Europe & Central Asia
Tuvalu,4465.230931,18.61504095,11646,East Asia & Pacific
Tanzania,2689.286799,6.48265759,58005463,Sub-Saharan Africa
Uganda,2271.649424,10.52446028,44269594,Sub-Saharan Africa
Ukraine,12632.64367,6.183730571,44385155,Europe & Central Asia
Uruguay,22454.65794,12.06045302,3461734,Latin America & Caribbean
United States,65118.35833,4.956950548,328239523,North America
Uzbekistan,7288.765626,1.135802775,33580650,Europe & Central Asia
St. Vincent and the Grenadines,12982.89639,36.54069263,110589,Latin America & Caribbean
Vietnam,8374.444328,1.528050919,96462106,East Asia & Pacific
Samoa,6787.131426,3.146105122,197097,East Asia & Pacific
Kosovo,11838.881,2.39893009,1794248,Europe & Central Asia
South Africa,12999.12026,35.9,58558270,Sub-Saharan Africa
Zambia,3623.699395,5.371749635,17861030,Sub-Saharan Africa
Zimbabwe,2953.484113,7.479899771,14645468,Sub-Saharan Africa
